Id Commande,Date Commande,Id Client,Id Magasin,Statut Commande,Total HT Commande,Id Produit,Quantite,Prix Unitaire,Taux Remise,Sous-Total Produit,Id Facture,Date Comptable,Montant Facture TTC,Statut Paiement Facture
CMD000001,2024-02-05,C00167,S001,Annulée,1873.16,P00017,11,30.03,10.0,297.3,,,,
CMD000001,2024-02-05,C00167,S001,Annulée,1873.16,P00089,6,47.82,10.0,258.23,,,,
CMD000001,2024-02-05,C00167,S001,Annulée,1873.16,P00052,11,92.97,10.0,920.4,,,,
CMD000001,2024-02-05,C00167,S001,Annulée,1873.16,P00097,1,27.11,0.0,27.11,,,,
CMD000001,2024-02-05,C00167,S001,Annulée,1873.16,P00030,4,92.53,0.0,370.12,,,,
CMD000002,2025-09-23,C01089,S005,En cours,2284.58,P00069,11,9.46,10.0,93.65,,,,
CMD000002,2025-09-23,C01089,S005,En cours,2284.58,P00137,4,59.02,0.0,236.08,,,,
CMD000002,2025-09-23,C01089,S005,En cours,2284.58,P00121,11,128.01,10.0,1267.3,,,,
CMD000002,2025-09-23,C01089,S005,En cours,2284.58,P00128,1,21.33,0.0,21.33,,,,
CMD000002,2025-09-23,C01089,S005,En cours,2284.58,P00030,8,92.53,10.0,666.22,,,,
CMD000007,2024-05-29,C00954,S003,Livrée,980.58,P00039,2,60.67,0.0,121.34,F000007,2024-05-30,1176.69,Payée
CMD000007,2024-05-29,C00954,S003,Livrée,980.58,P00118,11,80.42,10.0,796.16,F000007,2024-05-30,1176.69,Payée
CMD000007,2024-05-29,C00954,S003,Livrée,980.58,P00077,1,63.08,0.0,63.08,F000007,2024-05-30,1176.69,Payée
CMD000009,2024-02-03,C01182,S004,Livrée,79.7,P00114,9,9.84,10.0,79.7,F000009,2024-02-04,95.64,Payée
CMD000011,2025-06-06,C00874,S003,En cours,497.42,P00115,6,19.27,10.0,104.06,,,,
CMD000011,2025-06-06,C00874,S003,En cours,497.42,P00031,4,98.34,0.0,393.36,,,,
CMD000012,2024-10-01,C00149,S002,Livrée,2017.95,P00018,10,5.64,10.0,50.76,F000012,2024-10-02,2421.54,Payée
CMD000012,2024-10-01,C00149,S002,Livrée,2017.95,P00082,9,19.62,10.0,158.92,F000012,2024-10-02,2421.54,Payée
CMD000012,2024-10-01,C00149,S002,Livrée,2017.95,P00044,5,143.68,0.0,718.4,F000012,2024-10-02,2421.54,Payée
CMD000012,2024-10-01,C00149,S002,Livrée,2017.95,P00129,11,77.2,10.0,764.28,F000012,2024-10-02,2421.54,Payée
CMD000012,2024-10-01,C00149,S002,Livrée,2017.95,P00125,7,51.68,10.0,325.58,F000012,2024-10-02,2421.54,Payée
CMD000014,2024-02-19,C00550,S002,Livrée,1171.44,P00050,6,64.93,10.0,350.62,F000014,2024-02-20,1405.72,Payée
CMD000014,2024-02-19,C00550,S002,Livrée,1171.44,P00136,1,17.7,0.0,17.7,F000014,2024-02-20,1405.72,Payée
CMD000014,2024-02-19,C00550,S002,Livrée,1171.44,P00010,9,99.15,10.0,803.12,F000014,2024-02-20,1405.72,Payée
CMD000016,2025-01-27,C00907,S002,Livrée,2186.43,P00070,11,142.11,10.0,1406.89,F000016,2025-01-28,2623.72,Payée
CMD000016,2025-01-27,C00907,S002,Livrée,2186.43,P00054,6,118.99,10.0,642.55,F000016,2025-01-28,2623.72,Payée
CMD000016,2025-01-27,C00907,S002,Livrée,2186.43,P00096,6,25.37,10.0,137.0,F000016,2025-01-28,2623.72,Payée
CMD000018,2024-10-31,C00228,S003,Annulée,614.34,P00150,2,122.36,0.0,244.72,,,,
CMD000018,2024-10-31,C00228,S003,Annulée,614.34,P00045,7,58.67,10.0,369.62,,,,
CMD000019,2024-10-18,C00692,S005,Livrée,1717.27,P00068,11,114.13,10.0,1129.89,F000019,2024-10-19,2060.72,Payée
CMD000019,2024-10-18,C00692,S005,Livrée,1717.27,P00066,4,117.56,0.0,470.24,F000019,2024-10-19,2060.72,Payée
CMD000019,2024-10-18,C00692,S005,Livrée,1717.27,P00083,2,58.57,0.0,117.14,F000019,2024-10-19,2060.72,Payée
CMD000022,2024-05-20,C00540,S002,Livrée,1409.88,P00039,8,60.67,10.0,436.82,F000022,2024-05-21,1691.85,Payée
CMD000022,2024-05-20,C00540,S002,Livrée,1409.88,P00150,8,122.36,10.0,880.99,F000022,2024-05-21,1691.85,Payée
CMD000022,2024-05-20,C00540,S002,Livrée,1409.88,P00107,2,46.03,0.0,92.06,F000022,2024-05-21,1691.85,Payée
CMD000023,2024-05-02,C00848,S001,Annulée,1835.01,P00042,10,125.84,10.0,1132.56,,,,
CMD000023,2024-05-02,C00848,S001,Annulée,1835.01,P00103,7,78.07,10.0,491.84,,,,
CMD000023,2024-05-02,C00848,S001,Annulée,1835.01,P00056,4,34.09,0.0,136.36,,,,
CMD000023,2024-05-02,C00848,S001,Annulée,1835.01,P00148,1,9.32,0.0,9.32,,,,
